U_ID,MOD_ID,GLAC_ID,MOD_H,GLAC_H,DEBRIS,FRAC_GLAC,ICE_DEPTH
1,56570,58,5217.04,5211,0,0.04,2.14428401
2,56571,58,5223.8,5215.57,0,0.28,6.677631753
3,56572,58,5282.12,5241.17,0,0.48,7.998269836
4,56841,58,5192.56,5158.4,0,0.2,6.177329969
5,56842,58,5185.44,5185.44,0,1,11.42797193
6,56843,58,5205.52,5205.52,0,1,15.05465742
8,57113,58,5099.32,5139.88,0,0.32,6.68787086
9,57114,58,5147.4,5147.4,0,1,16.91828621
10,57115,58,5160.08,5158.83,0,0.92,11.61800552
12,57384,58,5009.16,5076,0,0.08,5.166754007
13,57385,58,5097.44,5108.31,0,0.64,13.44189443
14,57386,58,5132.96,5130.68,0,0.76,14.50457266
15,57928,57,5027.2,5055,0,0.08,4.324703217
16,57929,57,5080.64,5089.53,0,0.6,12.26906926
17,57930,57,5156,5145.75,0,0.48,6.719769498
18,58200,57,5112.76,5105.83,0,0.48,7.805063168
19,58201,57,5195.64,5192.87,0,0.92,9.635009792
20,58202,57,5340.4,5257.7,0,0.4,4.027333665
21,58472,57,5198.96,5246.5,0,0.08,4.64726615
23,58739,71,5226.36,5258,0,0.12,3.555492957
24,58740,72,5302.32,5329.82,0,0.44,7.368787744
25,58741,72,5305.52,5308.59,0,0.68,19.41872737
26,58742,72,5245.2,5287.43,0,0.28,11.06285436
27,59009,71,5212.08,5190,0,0.2,4.317977285
28,59010,71,5212.08,5209.96,0,0.96,7.107587894
29,59011,71,5169.24,5189.33,0,0.24,3.4397674
30,59011,72,5169.24,5157.71,0,0.56,6.222344603
31,59012,72,5183,5183,0,1,13.39271122
32,59013,72,5233.64,5223.94,0,0.68,9.17597859
33,59280,71,5153.56,5130.4,0,0.4,5.501719809
34,59281,71,5110.4,5126,0,0.52,5.874144242
35,59282,72,5042.68,5030.53,0,0.6,14.34221954
36,59283,72,5064.88,5062.82,0,0.88,14.91203425
37,59284,70,5176,5187.67,0,0.12,1.352963805
38,59284,72,5176,5182.47,0,0.6,6.382443889
39,59551,71,5060.04,5078,0,0.04,3.569904327
40,59552,71,5038.36,5071,0,0.04,3.636553764
41,59553,72,4986.6,4988,0,0.36,13.31278451
42,59554,70,5057.2,5109.5,0,0.08,2.229858041
43,59554,72,5057.2,5016,0,0.12,7.262149175
44,59555,70,5149.96,5149.52,0,0.84,3.569373522
45,59556,70,5242.08,5207.67,0,0.12,1.158895334
47,60367,69,5092.64,5134,0,0.04,2.705755234
48,60368,69,5219.56,5214.78,0,0.72,7.273407009
49,60369,69,5290.64,5288.63,0,0.96,15.95020525
51,60638,69,5087.24,5132.43,0,0.28,4.787883793
52,60639,69,5200.04,5200.04,0,1,11.11596483
53,60640,69,5330.56,5272.82,0,0.44,6.921304356
64,60909,69,5035.88,5073.67,0,0.12,2.502639532
65,60910,69,5140.96,5144.65,0,0.68,5.365354412
67,60947,18,5419.56,5419.56,0,1,14.87114613
68,60948,18,5475.84,5531.1,0,0.4,5.769497538
69,60951,19,6182.4,6281.2,0,0.2,13.13900261
70,60952,19,6238.96,6238.96,0,1,13.60576437
71,60953,19,6159.32,6106.5,0,0.24,8.252556324
72,60956,17,6303.56,6327.68,0,0.76,22.18981567
73,60957,17,6334.28,6334.28,0,1,32.14323097
77,61208,20,5547.12,5442,0,0.12,4.590458314
78,61209,20,5433.56,5394.7,0,0.4,9.814111352
79,61210,20,5406.16,5403.63,0,0.96,11.0838346
82,61216,18,5349.52,5330.42,0,0.48,19.36251958
83,61217,18,5296.64,5272.71,0,0.56,25.60786033
84,61218,18,5272.56,5272.56,0,1,24.95342892
85,61219,18,5265,5225.4,0,0.2,24.75754356
86,61223,19,5935.88,6050.3,0,0.4,9.325598192
87,61224,19,5979.84,5979.84,0,1,12.66479052
88,61225,19,5952.8,5978.29,0,0.28,6.062482766
89,61227,17,6080.88,6126.08,0,0.48,16.04163837
90,61228,17,6114.12,6114.12,0,1,27.85309441
91,61229,17,6252.84,6252.84,0,1,25.34407543
92,61230,17,6468.04,6468.04,0,1,28.35091286
93,61231,17,6631.88,6608.5,0,0.48,19.50635064
94,61479,20,5541.92,5418,0,0.04,3.345630407
95,61480,20,5373.68,5363.94,0,0.72,14.09128262
96,61481,20,5320.52,5320.52,0,1,26.10582279
97,61482,20,5289.68,5280.05,0,0.76,26.78771925
98,61483,20,5339.76,5256.6,0,0.2,17.32829657
99,61486,18,5387.96,5351.8,0,0.2,8.724096489
100,61487,18,5301.2,5293.88,0,0.68,21.54457384
101,61488,18,5236.76,5237.86,0,0.84,30.51486915
102,61489,18,5221.32,5221.32,0,1,63.99145279
103,61490,18,5222,5217.5,0,0.48,40.18348726
104,61495,19,5711.28,5785.8,0,0.4,5.31310792
105,61498,17,5808.84,5959,0,0.08,9.455972672
106,61499,17,5920.36,5964.93,0,0.56,15.09303495
107,61500,17,6150.92,6149.13,0,0.32,8.610128045
108,61501,17,6446.32,6463.81,0,0.84,23.95325804
109,61502,17,6458.72,6524.73,0,0.44,24.84749569
110,61725,32,5663.72,5639.4,0,0.2,6.396582127
111,61725,30,5663.72,5642.29,0,0.28,14.48800216
112,61726,30,5657.92,5628.47,0,0.6,27.05225919
115,61750,22,5559.68,5514.75,0,0.16,8.214293242
116,61751,22,5429.88,5482.67,0,0.12,7.579927921
117,61752,20,5306.88,5287.92,0,0.52,15.59096861
118,61753,20,5256.56,5256.29,0,0.96,40.28395518
119,61754,20,5233,5232.75,0,0.96,36.02582812
120,61755,20,5256.08,5211.38,0,0.52,20.20654209
121,61756,20,5365.44,5218,0,0.04,7.154470921
122,61760,18,5211.32,5191.8,0,0.4,26.70089722
123,61761,18,5192.36,5190.22,0,0.36,21.05434895
124,61769,17,5624.36,5595.45,0,0.44,15.50560795
125,61770,17,5705.64,5589.2,0,0.2,12.29615488
126,61772,17,6325.92,6346.15,0,0.8,18.4495873
128,61995,32,5436.48,5531,0,0.04,6.169212341
129,61996,32,5571.16,5571.82,0,0.68,24.02310988
130,61996,30,5571.16,5566.6,0,0.2,14.78151169
131,61997,30,5550.12,5550.12,0,1,56.43401688
132,61998,30,5562.56,5562.56,0,1,54.39543976
133,61999,30,5613.6,5606.2,0,0.8,35.12145958
134,62000,30,5722.04,5760.75,0,0.32,9.389627099
138,62021,22,5544.44,5542.21,0,0.96,22.22391123
139,62022,22,5473.88,5473.88,0,1,18.347825
140,62023,22,5347.64,5386.11,0,0.36,7.050536712
141,62024,20,5232.52,5225.67,0,0.24,20.73330673
142,62025,20,5197.68,5197.79,0,0.96,39.99581699
143,62026,20,5185.64,5185.64,0,1,59.04017548
144,62027,20,5202.36,5186.5,0,0.32,28.13585335
145,62038,17,5238.76,5179,0,0.08,8.948421478
146,62040,17,5476.04,5495.8,0,0.6,19.39045099
